"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1800ARDWICK0","","",,"Ardwick Train Station Entrance","","","","DAINTON ST","","BLIND LANE","","","","Blind Lane - Dainton St","","","E0028484","Ardwick","Manchester","","","","","","0","U",385816,397268,-2.21515,53.47197,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800ASHBRYS0","","",,"Train Station Entrance","","","","ASHBURYS TRAIN STATION","","POTTERY LANE","","","","Pottery Lane","","","N0074883","Ashburys","West Gorton","Manchester","","","","","0","U",387193,397236,-2.19441,53.47172,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800BAGE0","","",,"Train Station Access","","","","BURNAGE TRAIN STATION","","FOG LANE","","","","East Entrance","","","E0028653","Burnage","Manchester","","","","","","0","U",385784,391619,-2.21538,53.42119,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800BAGE1","","",,"Train Station Access","","","","BURNAGE TRAIN STATION","","FOG LANE","","","","West Entrance","","","E0028653","Burnage","Manchester","","","","","","0","U",385755,391627,-2.21581,53.42127,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800BLLVUE0","","",,"Belle Vue Train Station West Entrance","","","","GLENCASTLE RD","","HYDE RD","","","","Hyde Rd - Glencastle Rd","","","E0028538","Belle Vue","Manchester","","","","","","0","U",388093,396194,-2.18081,53.46238,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800BLLVUE1","","",,"Belle Vue Train Station East Entrance","","","","WILLIAMS RD","","HYDE RD","","","","Hyde Rd - Williams Rd","","","E0028538","Belle Vue","Manchester","","","","","","0","U",388135,396189,-2.18017,53.46233,"RSE","","","","","","083","2005-02-02T00:00:00","2005-02-02T00:00:00",0,"new","act"
"1800CNBS001","manadagj","",,"Chorlton Bus Station","","Bus Station","","Chorlton Bus Station","","BARLOW MOOR RD","","","","Os Mcr Diving Club","","","E0028713","Chorlton","Manchester","","","","","","1","U",381866,393457,-2.27444,53.4376,"BCS","MKD","","","SHORT NAME ADDED","","083","2010-03-15T00:00:00","2010-03-15T00:00:00",2,"new","act"
"1800CNBS002","","",,"Chorlton Bus Station","","Bus Station","","Chorlton Bus Station","","BARLOW MOOR RD","","","","Os Mcr Diving Club","","","E0028713","Chorlton","Manchester","","","","","","1","U",381866,393457,-2.27444,53.4376,"BCS","MKD","","","SHORT NAME ADDED","","083","2010-03-15T00:00:00","2010-03-15T00:00:00",2,"new","act"
"1800CSBS001","manadagp","",,"Manchester Central Coach Station","","","","Manchester Central Coach Station","","CHORLTON STREET","","","","Op Portland Tower","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384344,397954,-2.23736,53.47809,"BCS","MKD","","","NAME AMENDED","","083","2008-06-10T00:00:00","2008-06-10T00:00:00",1,"new","act"
"1800CSBS002","","",,"Chorlton Street Coach Station","","","","BLOOM STREET","","Chorlton Street","","","","Chorlton Street - Bloom Street","","","E0057786","Manchester City Centre","Manchester","","","","","","1","U",384325,397910,-2.23765,53.47769,"BCS","MKD","","","","","083","2005-05-24T00:00:00","2005-05-24T00:00:00",0,"new","del"
"1800CSBS011","","",,"Chorlton Street Coach Station Stand *","","","","CHORLTON STREET COACH STATION","","Chorlton Street","","",""," Stand *","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384325,397910,-2.23765,53.47769,"BCS","MKD","","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","del"
"1800CSBS0A1","mantmpmg","",,"Manchester Central Coach Station STAND A","","","","Manchester Central Coach Station","","CHORLTON STREET","","","","Stand A","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384333,397946,-2.23753,53.47802,"BCS","MKD","","","NAME AMENDED","","083","2008-06-10T00:00:00","2008-06-10T00:00:00",1,"new","act"
"1800CSBS0B1","mantmpmt","",,"Manchester Central Coach Station STAND B","","","","Manchester Central Coach Station","","CHORLTON STREET","","","","Stand B","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384325,397939,-2.23765,53.47795,"BCS","MKD","","","NAME AMENDED","","083","2008-06-10T00:00:00","2008-06-10T00:00:00",1,"new","act"
"1800CSBS0C1","mantmpmp","",,"Manchester Central Coach Station STAND C","","","","Manchester Central Coach Station","","CHORLTON STREET","","","","Stand C","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384317,397933,-2.23777,53.4779,"BCS","MKD","","","NAME AMENDED","","083","2008-06-10T00:00:00","2008-06-10T00:00:00",1,"new","act"
"1800CSBS0D1","mantmpmw","",,"Manchester Central Coach Station STAND D","","","","Manchester Central Coach Station","","CHORLTON STREET","","","","Stand D","","","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384309,397926,-2.23789,53.47784,"BCS","MKD","","","NAME AMENDED","","083","2008-06-10T00:00:00","2008-06-10T00:00:00",1,"new","act"
"1800EB00031","manadagt","",,"Anson Road/Daisy Bank Road","","Daisy Bank Road","","HOUSE 11","","ANSON ROAD","","","","O/S House 11","","SE","E0029284","Rusholme","Manchester","","","","","","0","U",385669,395621,-2.21729,53.45716,"BCT","MKD","OTH","","LOCATION AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB00071","manadagw","",,"Kenyon Lane/St Georges Drive","","St Georges Drive","","DOCTORS SURGERY","","KENYON LANE","","","","O/s Doctors Surgery","","E","N0075088","Moston","Manchester","","","","","","0","U",387492,401440,-2.19007,53.50951,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB00081","manadaja","",,"Lever St/Warwick St","","Warwick Street","","BUS STATION","","LEVER STREET","","","","Stop EM","","NE","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384637,398527,-2.23298,53.48325,"BCT","MKD","OTH","","NAME AMENDED","","083","2011-09-21T00:00:00","2011-09-21T00:00:00",4,"new","act"
"1800EB00091","manadajd","",,"Piccadilly/Chatham Street","","Chatham Street","","BANK","","PICCADILLY","","","","O/s Bank","","N","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384589,398151,-2.23368,53.47987,"BCT","MKD","OTH","","STOP REMOVED","","083","2011-01-12T00:00:00","2011-01-12T00:00:00",2,"new","del"
"1800EB00111","manadajg","",,"Hollinwood Ave - Branston Rd","","Branston Road","","HOUSE 377","","HOLLINWOOD AVE","","","","Stop K","","W","N0075088","Moston","Manchester","","","","","","0","U",388615,403105,-2.1732,53.5245,"BCT","MKD","OTH","","NAME AMENDED","","083","2011-03-24T00:00:00","2011-03-24T00:00:00",1,"new","act"
"1800EB00151","manadajm","",,"Parrs Wood Lane/Kingsway","","Kingsway","","OPP HOTEL","","PARRS WOOD LANE","","","","Stop B","","E","E0029191","Parrs Wood","Didsbury","Manchester","","","","","0","U",385591,390502,-2.21823,53.41115,"BCT","MKD","TIP","","STOP NAME AMENDED","","083","2011-03-24T00:00:00","2011-03-24T00:00:00",1,"new","act"
"1800EB00241","manadajp","",,"Joyce Street/Leyton Avenue","","Leyton Avenue","","HOUSE 40","","JOYCE STREET","","","","O/s House 40","","E","N0075088","Moston","Manchester","","","","","","0","U",387678,401367,-2.18726,53.50886,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB00251","manadajt","",,"Joyce Street/Kenyon Lane","","Kenyon Lane","","HOUSE 75","","JOYCE STREET","","","","O/s House 75","","W","N0075088","Moston","Manchester","","","","","","0","U",387582,401363,-2.18871,53.50882,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB00271","manadajw","",,"Lever Street Bus Station (Stop EH)","","Lever Street Bus","","BUS STATION","","LEVER ST BUS ST","","","","Stop Eh","","SW","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384611,398549,-2.23337,53.48344,"BCT","MKD","OTH","","STOP REMOVED","","083","2010-02-04T00:00:00","2010-02-04T00:00:00",1,"new","del"
"1800EB00281","manadama","",,"Hyde Road/Belle Vue Station","","Belle Vue Station","","BELLE VUE STN","","HYDE ROAD","","","","Stop A","","W","E0028538","Belle Vue","Manchester","","","","","","1","U",388167,396180,-2.17969,53.46225,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB00531","manadamd","",,"Mount Road/Matthews Lane","","Matthews Lane","","SCHOOL","","MOUNT ROAD","","","","nr School","","N","E0028297","Crowcroft Park","Levenshulme","Manchester","","","","","0","U",388132,394931,-2.18017,53.45102,"BCT","MKD","TIP","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",2,"new","act"
"1800EB00601","manadamj","",,"Newton St/Hilton St","","Hilton St","","PREMISES NO 49","","NEWTON STREET","","","","O/s No 49","","NE","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384636,398380,-2.23298,53.48193,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",2,"new","act"
"1800EB00621","manadamp","",,"Burnage Lane/Lavister Avenue","","Lavister Avenue","","OPP CHURCH","","BURNAGE LANE","","","","Opp Church","","S","E0028653","Burnage","Manchester","","","","","","0","U",385946,391446,-2.21293,53.41964,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB00831","manadamt","",,"Great Ancoats St/Adair St","","Adair Street","","PREMISES NO 275","","GT ANCOATS ST","","","","O/s Premises No 275","","SE","N0074882","Ancoats","Manchester","","","","","","0","U",385414,398026,-2.22124,53.47877,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",2,"new","act"
"1800EB00841","manadamw","",,"Beresford Road/Clitheroe Road","","Clitheroe Road","","OPP HOUSE 52","","BERESFORD ROAD","","","","Opp House 52","","S","E0028994","Longsight","Manchester","","","","","","0","U",386592,395142,-2.20337,53.45288,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB00851","manadapa","",,"Lever St/Dale St","","Dale Street","","BANK","","LEVER STREET","","","","Stop E","","NE","N0075071","Piccadilly Gardens","Manchester City Centre","Manchester","","","","","1","U",384470,398328,-2.23548,53.48145,"BCT","MKD","TIP","","NAME AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",2,"new","act"
"1800EB00861","manadapd","",,"Slade Lane/Hamilton Road","","Hamilton Road","","OPP CHURCH","","SLADE LANE","","","","Opp Church","","S","E0028994","Longsight","Manchester","","","","","","0","U",387004,394873,-2.19715,53.45048,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB00871","manadapg","",,"Piccadilly Gardens (Stop C)","","Piccadilly Garden","","NOBLES","","PICCADILLY","","","","Stop C","","E","N0075071","Piccadilly Gardens","Manchester City Centre","Manchester","","","","","0","U",384415,398313,-2.23631,53.48132,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","del"
"1800EB01081","manadapj","",,"Old Hall Lane/Elsdon Road","","Elsdon Road","","HOUSE 169","","OLD HALL LANE","","","","O/s House 169","","S","E0028994","Longsight","Manchester","","","","","","0","U",386750,394700,-2.20097,53.44891,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB01101","manadapm","",,"Broom Lane/Thorncliffe Grove","","Thorncliffe Grove","","O/S HOUSE 192","","BROOM LANE","","","","O/s House 192","","S","E0028951","Levenshulme","Manchester","","","","","","0","U",388013,394144,-2.18193,53.44395,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-03-25T00:00:00","2010-03-25T00:00:00",1,"new","act"
"1800EB01161","manadapt","",,"London Road/Travis St","","Travis Street","","OPP HOTEL","","LONDON ROAD","","","","Opp Hotel","","NW","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384779,397686,-2.2308,53.47569,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",3,"new","act"
"1800EB01171","manadapw","",,"London Road/Travis St","","Travis Street","","HOTEL","","LONDON ROAD","","","","O/s Hotel","","S","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384839,397614,-2.22989,53.47505,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",3,"new","act"
"1800EB01181","manadata","",,"London Road/Travis St","","Travis Street","","HOTEL","","LONDON ROAD","","","","O/s Hotel","","SE","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384816,397678,-2.23024,53.47562,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-10-15T00:00:00","2010-10-15T00:00:00",3,"new","act"
"1800EB01191","manadatd","",,"Monsall Road/Burgess Primary School","","Burgess School","","OPP SCHOOL","","MONSALL ROAD","","","","Opp School","","NW","E0028743","Harpurhey","Manchester","","","","","","0","U",386054,401011,-2.21173,53.50561,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB01201","manadatg","",,"London Rd/Fairfield St","","Fairfield Street","","METROLINK STN","","LONDON ROAD","","","","Stop A","","S","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384739,397804,-2.2314,53.47675,"BCT","MKD","OTH","","NAME AMENDED","","083","2011-09-21T00:00:00","2011-09-21T00:00:00",2,"new","act"
"1800EB01211","manadatj","",,"Lever Street Bus Station (Stop EK)","","Lever Street Bus","","BUS STATION","","LEVER ST BUS ST","","","","Stop Ek","","SW","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384618,398537,-2.23326,53.48334,"BCT","MKD","OTH","","STOP REMOVED","","083","2010-01-29T00:00:00","2010-01-29T00:00:00",1,"new","del"
"1800EB01221","manadatm","",,"London Road/Piccadilly Rail (Stop ER)","","Piccadilly Rail","","P'CADILLY PLACE","","LONDON ROAD","","","","Stop ER","","N","E0057786","Manchester City Centre","Manchester","","","","","","0","U",384636,398024,-2.23297,53.47873,"BCT","MKD","OTH","","STOP REMOVED","","083","2010-09-24T00:00:00","2010-09-24T00:00:00",1,"new","del"
"1800EB01231","manadatp","",,"Monsall Road/Burgess Primary School","","Burgess School","","NR SCHOOL","","MONSALL ROAD","","","","Nr School","","SE","E0028743","Harpurhey","Manchester","","","","","","0","U",386203,400927,-2.20948,53.50486,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800EB01241","manadatw","",,"Stanley Grove/Asda","","Asda","","O/S SUPERMARKET","","STANLEY GROVE","","","","O/s Supermarket","","E","E0028994","Longsight","Manchester","","","","","","1","U",386914,395618,-2.19854,53.45717,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
